GEO.id,GEO.id2,GEOID,GEO.display-label,Total Population,Male Population,Female Population,Age under 5,Age 5-9 years,Age 10-14 years,Age 15-19 years,Age 20-24 years,Age 25-29 years,Age 30-34 years,Age 35-39 years,Age 40-44 years,Age 45-49 years,Age 50-54 years,Age 55-59 years,Age 60-64 years,Age 65-69 years,Age 70-74 years,Age 75-79 years,Age 80-84 years,Age 85 and over
Id,Id2,Id3,Geography,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population,Total; Estimate; AGE - Under 5 years,Total; Estimate; AGE - 5 to 9 years,Total; Estimate; AGE - 10 to 14 years,Total; Estimate; AGE - 15 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over
0500000US55001,55001,55001,"Adams County, Wisconsin",21044,11316,9728,4.1,4.6,5.1,5.2,4.1,4.7,5.4,5.2,7,8,8.3,8.2,7.8,7.9,5.8,3.6,3,2.1
0500000US55003,55003,55003,"Ashland County, Wisconsin",16212,8134,8078,6.1,6.5,6.3,7.4,7.2,5.7,5.4,5.5,6.4,7.7,7.9,7.5,4.5,4.7,3.4,3.1,2.6,2.4
0500000US55005,55005,55005,"Barron County, Wisconsin",45915,22901,23014,6.1,6.3,6,6.5,5.4,5.5,5.3,6.2,6.3,7.9,7.7,7.5,5.7,5,3.8,3.3,2.7,2.7
0500000US55007,55007,55007,"Bayfield County, Wisconsin",15114,7709,7405,4.4,4.9,5.9,5.6,3.8,4,4.1,5,7,8.4,9.7,9,8.6,6.7,5,3.7,1.8,2.4
0500000US55009,55009,55009,"Brown County, Wisconsin",244376,120913,123463,6.9,6.9,7,7.3,7.3,6.9,6.5,6.6,7.5,7.9,7.2,6.2,4.5,3.1,2.6,2.2,1.6,1.7
0500000US55011,55011,55011,"Buffalo County, Wisconsin",13744,6911,6833,5.8,4.8,7.7,6.6,4.9,4.9,4.9,6.4,6.6,8.2,8.2,7.5,5.7,5.1,4.1,3.3,2.9,2.2
0500000US55013,55013,55013,"Burnett County, Wisconsin",15749,8019,7730,4.8,5,5.7,6.1,3.4,4.1,4.1,4.8,6.5,8,8.4,8.5,7.7,8,5.8,3.9,2.8,2.4
0500000US55015,55015,55015,"Calumet County, Wisconsin",47902,24037,23865,6.9,7.7,8,6.9,4.4,5.6,6.8,7.6,8.3,8.5,7.7,6.5,4.2,3,2.8,2.2,1.8,1.3
0500000US55017,55017,55017,"Chippewa County, Wisconsin",61466,31525,29941,6.4,6.3,6.7,6.8,5.4,6.2,6.1,6.3,7.2,8.3,7.7,6.4,5.7,4.1,3.3,2.5,2.1,2.4
0500000US55019,55019,55019,"Clark County, Wisconsin",34552,17518,17034,8.4,7.7,8.2,7.4,5.2,5.4,5.2,5.6,6.4,7.2,7,5.8,4.7,3.9,3.5,3,2.5,2.8
0500000US55021,55021,55021,"Columbia County, Wisconsin",56350,28581,27769,6,6.1,7,6.5,5,5.6,6.2,6.5,8,8.7,7.8,6.9,5.4,4.3,3,2.8,2.2,2
0500000US55023,55023,55023,"Crawford County, Wisconsin",16801,8731,8070,5.7,6.2,6.4,6.7,5.3,4.7,5,5.6,6.3,8.1,7.9,7.9,6.3,5.1,4.6,3.2,2.7,2.4
0500000US55025,55025,55025,"Dane County, Wisconsin",477748,236390,241358,6.2,6,5.9,7.1,10.3,8.2,7.3,7,6.9,7.3,7,6.4,4.5,2.9,2.1,1.8,1.6,1.5
0500000US55027,55027,55027,"Dodge County, Wisconsin",88935,46882,42053,5.7,6.5,6,6.4,5.8,6.2,6.4,7.1,7.6,8.8,7.8,6.3,5,3.8,3.3,2.5,2.4,2.4
0500000US55029,55029,55029,"Door County, Wisconsin",27959,13814,14145,4.4,4.4,5.6,5.8,3.6,4.2,4.8,6,5.5,8.1,9.3,8.7,8.2,5.9,5.3,4.3,3.5,2.4
0500000US55031,55031,55031,"Douglas County, Wisconsin",43907,21971,21936,5.8,5.9,6.2,6.7,7.2,6.7,5.9,5.8,6.8,8.2,8,7.2,5.5,4.3,3,2.6,2.2,1.9
0500000US55033,55033,55033,"Dunn County, Wisconsin",43365,21826,21539,5.5,5.8,6,10.9,12.8,5.7,5.4,6.1,5.7,6.9,6.6,5.8,5,3.2,2.8,2.2,2,1.6
0500000US55035,55035,55035,"Eau Claire County, Wisconsin",97381,47675,49706,5.8,5.4,6.4,8.7,13.2,6.8,5.6,5.8,6,6.8,6.5,6.3,4.8,3.5,2.4,2.5,1.8,2
0500000US55037,55037,55037,"Florence County, Wisconsin",4587,2381,2206,4.5,5.1,5.6,5.8,4.4,3.9,4,4.1,8.8,10,9.6,7.8,7.2,5.8,4.5,3.6,2.9,2.5
0500000US55039,55039,55039,"Fond du Lac County, Wisconsin",100919,49529,51390,5.9,6,6.9,7.1,6.2,6,5.7,6.4,7.4,7.8,7.7,6.7,5.4,4,3,2.9,2.3,2.4
0500000US55041,55041,55041,"Forest County, Wisconsin",9534,4906,4628,5.1,5.7,6.5,7.9,5.4,4.6,4.8,5.2,6.7,7.5,7.3,6.1,7.1,5.7,5.4,4.2,2.6,2.2
0500000US55043,55043,55043,"Grant County, Wisconsin",50716,26337,24379,5.6,5.6,6.2,9.6,11.6,5.2,4.9,4.9,6,6.9,7.1,5.9,5,4.1,3.5,3,2.9,2
0500000US55045,55045,55045,"Green County, Wisconsin",36448,18032,18416,6.6,6.3,7.2,6.7,4.5,5.3,5.6,6.5,7.7,8.7,7.9,7.2,5.1,4.4,2.8,2.6,2.5,2.4
0500000US55047,55047,55047,"Green Lake County, Wisconsin",19107,9492,9615,5.7,6.2,7.1,6.2,4.4,4.9,5.3,5.6,6.6,7.7,7.9,7.4,6.2,5.2,3.9,3.8,3.1,2.7
0500000US55049,55049,55049,"Iowa County, Wisconsin",23646,11800,11846,7,6.4,7.3,6.4,4.6,5.4,6.1,6.3,7.9,8.7,8.2,7.3,5.3,3.6,3.2,2.7,1.8,2.1
0500000US55051,55051,55051,"Iron County, Wisconsin",6075,3067,3008,3.3,5.4,4.3,5.6,3.4,3.4,3.9,5.8,6.4,8.6,8.8,8.5,8.2,7,4.6,4.6,3.7,4.5
0500000US55053,55053,55053,"Jackson County, Wisconsin",20284,10711,9573,5.9,6,6.7,6.4,5.6,6.1,5.8,7.1,6.8,7.9,7.5,7.2,5.4,4.6,4,2.9,2.5,1.6
0500000US55055,55055,55055,"Jefferson County, Wisconsin",82778,41034,41744,6.4,6.9,6.5,7.9,6.6,6.1,6.2,6,7.9,7.8,7.2,6.4,5.3,4.2,2.8,2.4,1.7,1.9
0500000US55057,55057,55057,"Juneau County, Wisconsin",26733,13735,12998,5.4,6.3,6.6,6.7,5.1,5.1,5.2,5.8,7.3,8.4,7.8,6.5,6.5,5.4,3.9,3.6,2.5,2
0500000US55059,55059,55059,"Kenosha County, Wisconsin",164328,81360,82968,6.7,7.1,7.6,7.7,6.8,6.2,6.5,7,7.8,8.2,7.2,6,4.1,3.2,2.3,2.2,1.9,1.5
0500000US55061,55061,55061,"Kewaunee County, Wisconsin",20642,10413,10229,5.9,6.8,7,6.6,4.9,5.2,5.6,6.1,7.4,8.1,7.7,6.6,6.1,4.5,3.4,3.4,2.8,2.1
0500000US55063,55063,55063,"La Crosse County, Wisconsin",112819,55045,57774,5.8,5.8,6.1,8.7,11.2,6.6,5.6,5.6,6.4,7,7.1,6.3,4.7,3.5,2.9,2.6,2,2.3
0500000US55065,55065,55065,"Lafayette County, Wisconsin",16775,8552,8223,6.8,6.8,7.4,7.2,5.5,5.1,5.1,4.9,7.6,8.2,8.3,6.6,4.8,4.3,3.6,3.3,2.6,1.9
0500000US55067,55067,55067,"Langlade County, Wisconsin",20218,10121,10097,5,6.3,6.1,6.6,4.5,4.5,4.9,6.3,6.2,8.4,8,8.1,5.7,5.4,4.8,3.7,2.8,3
0500000US55069,55069,55069,"Lincoln County, Wisconsin",29075,14418,14657,5.4,5.6,6.6,6.9,4.2,4.6,4.8,5.6,8.2,8.8,8.5,6.6,6.2,5,4.2,3,2.8,3
0500000US55071,55071,55071,"Manitowoc County, Wisconsin",81678,40385,41293,5.6,6.1,6.8,7,5.4,4.9,5.2,5.6,7.8,8.5,8.2,7.1,5.4,4.1,3.8,3.2,2.8,2.5
0500000US55073,55073,55073,"Marathon County, Wisconsin",132644,66422,66222,6.4,6.5,7.3,7.2,5.6,5.9,5.9,6.9,7.1,8.1,7.6,6.6,5.1,3.9,3.1,2.7,2.1,2
0500000US55075,55075,55075,"Marinette County, Wisconsin",42019,20864,21155,4.9,5.9,5.6,6.7,5.4,4.9,5,4.8,6.9,8.6,8.2,7.2,6.8,6.1,3.8,3.5,2.7,2.8
0500000US55077,55077,55077,"Marquette County, Wisconsin",15421,7812,7609,5.4,5.3,5.9,5.8,4.5,4.2,4.1,5.5,6.7,8.8,8.5,7.9,7,6,5.4,4.6,2.4,2
0500000US55078,55078,55078,"Menominee County, Wisconsin",4251,2106,2145,7.3,9.3,9.1,9.2,6.7,4.6,4.2,6.2,6.2,9.6,6.2,4,6,3.9,3.8,2.2,0.9,0.5
0500000US55079,55079,55079,"Milwaukee County, Wisconsin",937616,452461,485155,7.2,6.7,6.9,7.5,8,8.3,7,6.5,6.5,6.9,6.8,5.8,4.2,3,2.4,2.4,2,1.9
0500000US55081,55081,55081,"Monroe County, Wisconsin",44053,22174,21879,7.2,7.7,6.8,7.1,5.4,5.8,5.6,6.5,6.8,7.6,7.7,6.8,5.3,4.1,3,2.5,2.4,1.8
0500000US55083,55083,55083,"Oconto County, Wisconsin",37737,19229,18508,5.5,6.2,6.6,6.7,4.4,4.7,5.4,6.4,7.6,9.3,8.4,6.9,6.3,5.3,3.6,3,2,1.7
0500000US55085,55085,55085,"Oneida County, Wisconsin",36379,18189,18190,4.6,4.2,6,6.2,4.5,4.4,4.3,4.7,7.6,8.9,8.7,8.1,7,6.4,5,4.2,2.9,2.4
0500000US55087,55087,55087,"Outagamie County, Wisconsin",174457,86963,87494,6.7,7,7.3,7.2,6.4,6.7,6.5,7.1,7.4,8.4,7.3,6.1,4.4,3.2,2.7,2.2,1.8,1.6
0500000US55089,55089,55089,"Ozaukee County, Wisconsin",85945,42094,43851,5.4,6.3,7.7,7.4,5.1,4.2,4.6,5.8,7.8,9,8.7,7.6,5.9,4.4,3.1,3,2.1,2.1
0500000US55091,55091,55091,"Pepin County, Wisconsin",7517,3800,3717,6.1,6.1,6.9,6.7,4.7,5.3,4.9,5.1,7.6,8,8.1,6.6,6.5,4.7,3.8,2.8,2.6,3.3
0500000US55093,55093,55093,"Pierce County, Wisconsin",40530,20197,20333,5.7,6,6.3,9.9,11.7,5.9,5.4,6.6,6.5,7.7,7.5,6.5,4.1,3.1,2.3,1.8,1.4,1.4
0500000US55095,55095,55095,"Polk County, Wisconsin",44310,22174,22136,6.1,6.3,6.8,6.9,4.6,5.1,5.5,6.1,7.4,8.5,8,7.4,5.8,4.9,3.4,2.8,2.3,2.2
0500000US55097,55097,55097,"Portage County, Wisconsin",69437,34603,34834,5.5,5.9,6,8.8,11.9,6.1,5.3,5.8,6.5,7.4,7.4,6.2,4.9,3.6,2.8,2.2,1.9,1.8
0500000US55099,55099,55099,"Price County, Wisconsin",14452,7312,7140,4.4,5.1,6,6.3,3.5,3.6,4.8,5.5,7,8.7,9,8.8,6.9,5.5,4.8,4.3,3.1,2.6
0500000US55101,55101,55101,"Racine County, Wisconsin",194736,96394,98342,6.6,6.9,7.1,6.9,5.8,6,6.1,6.5,7.5,8.4,7.9,6.5,5,3.6,2.8,2.3,2.1,1.8
0500000US55103,55103,55103,"Richland County, Wisconsin",18205,9098,9107,6.4,5.7,6.8,7.1,4.9,5.2,5.1,5.3,6.8,7.4,8,7.7,5.3,5.4,3.3,3.7,2.4,3.1
0500000US55105,55105,55105,"Rock County, Wisconsin",159964,78654,81310,6.6,7.1,7.2,7.3,6.2,6.1,6.3,6.5,7.5,7.8,7.2,6.3,4.9,3.9,3,2.8,1.9,1.6
0500000US55107,55107,55107,"Rusk County, Wisconsin",14855,7387,7468,5.6,5.9,6.6,6.7,4.2,4.2,4.4,5.7,6.4,8.4,8.2,7.6,6.4,5.7,4.3,3.8,3,2.8
0500000US55109,55109,55109,"St. Croix County, Wisconsin",82636,41494,41142,7.5,7.7,7.7,6.4,4.9,6.8,7.2,7.5,8.1,8.5,7.4,6.2,4.3,2.9,2.2,1.7,1.3,1.4
0500000US55111,55111,55111,"Sauk County, Wisconsin",60957,30461,30496,6.3,6.3,6.8,6.7,5.6,6.3,5.9,6.3,7.4,7.9,7.6,7,5.2,4.3,3.1,2.9,2.2,2.2
0500000US55113,55113,55113,"Sawyer County, Wisconsin",16615,8372,8243,5.7,5.2,5.9,5.9,4.6,4.5,4.4,5.2,6.4,8,8.6,7.9,8,7.1,4.4,3.6,2.8,1.8
0500000US55115,55115,55115,"Shawano County, Wisconsin",41842,20890,20952,5.9,6.1,7,6.6,5.1,4.9,5.1,6.1,7.2,8.1,7.5,6.6,6,5.1,4.1,3.2,2.8,2.7
0500000US55117,55117,55117,"Sheboygan County, Wisconsin",115328,57956,57372,6.2,6.8,6.7,6.8,5.9,5.8,5.9,6.9,7.1,8.2,7.7,6.9,5.1,3.7,3.1,2.6,2.4,2.3
